Name,State,Value,Number_of_Observations_POR,Percentile_POR
Bloody Dick,MT,14.7,45,95.55555555555556
Hopewell,NM,8.8,45,8.88888888888889
Cold Springs Camp,OR,18.3,43,6.976744186046512
Waterhole,WA,46.6,25,48.0
Santiam Jct.,OR,42.0,46,34.78260869565217
Island Park,ID,12.0,43,34.883720930232556
Columbus Basin,CO,14.6,30,26.666666666666668
Copper Mountain,CO,8.4,46,10.869565217391305
Noisy Basin,MT,34.5,46,54.347826086956516
Sevenmile Marsh,OR,29.4,44,22.727272727272727
Irish Taylor,OR,29.5,45,13.333333333333334
Garver Creek,MT,18.1,28,89.28571428571429
Beaver Creek,MT,17.900000000000002,39,79.48717948717949
Moss Springs,OR,27.9,44,54.54545454545454
Currant Creek,UT,9.200000000000001,46,43.47826086956522
Beaver Head,AZ,7.799999999999999,30,53.333333333333336
Farnsworth Lake,UT,9.0,44,2.272727272727273
Strawberry Divide,UT,10.700000000000001,46,23.91304347826087
Black Flat-U.M. Ck,UT,5.6,43,13.953488372093023
Kenai Moose Pens,AK,5.0,41,29.268292682926827
Ochoco Meadows,OR,10.7,44,18.181818181818183
Snow Mountain,OR,12.799999999999999,46,41.30434782608695
Big Sandy Opening,WY,8.9,44,43.18181818181818
Cougar Mountain,WA,73.8,42,92.85714285714286
Wilbur Bench,UT,7.6000000000000005,45,26.666666666666668
Jack Creek Upper,NV,11.799999999999999,46,17.391304347826086
Northeast Entrance,MT,14.6,46,95.65217391304348
Loveland Basin,CO,8.1,32,6.25
Meadow Lake,ID,17.4,43,93.02325581395348
Pike Creek,MT,32.3,44,95.45454545454545
Twin Lakes,MT,45.9,46,91.30434782608695
Marquette,WY,5.0,44,50.0
Five Points Lake,UT,12.4,44,47.72727272727273
Spencer Meadow,WA,65.39999999999999,41,51.21951219512195
Albro Lake,MT,14.9,28,75.0
Whiskey Ck,CO,2.9000000000000004,44,0.0
Sandstone RS,WY,10.899999999999999,39,20.51282051282051
Little Meadows,OR,66.0,44,38.63636363636363
Bear Lake,CO,10.799999999999999,44,6.8181818181818175
Hoodoo Basin,MT,47.7,44,84.0909090909091
Donkey Reservoir,UT,4.3,39,17.94871794871795
Spirit Lake,WA,67.80000000000001,39,82.05128205128204
Brighton,UT,20.5,38,57.89473684210527
Blewett Pass,WA,31.599999999999998,43,86.04651162790698
Triple Peak,WY,24.3,38,81.57894736842105
Dismal Swamp,CA,24.4,44,40.909090909090914
Beaver Reservoir,OR,14.1,44,29.545454545454547
Saddle Mountain,OR,71.5,45,64.44444444444444
Medano Pass,CO,6.199999999999999,29,27.586206896551722
Mud Ridge,OR,48.3,46,67.3913043478261
Gardner Peak,UT,14.2,20,75.0
Taylor Butte,OR,11.200000000000001,46,36.95652173913043
Giveout,ID,13.0,42,88.09523809523809
Mowich,WA,42.4,26,92.3076923076923
Schneider Meadows,OR,23.7,44,20.454545454545457
Nevada Ridge,MT,19.3,30,100.0
Monument Peak,MT,22.5,44,93.18181818181817
Fish Lk.,OR,21.0,44,22.727272727272727
Happy Jack,AZ,14.899999999999999,25,60.0
Cumbres Trestle,CO,14.499999999999998,44,18.181818181818183
Pigtail Peak,WA,56.4,43,67.44186046511628
Rocker Peak,MT,15.4,46,97.82608695652173
Deadman Hill,CO,9.5,46,15.217391304347828
Sentinel Butte,WA,11.2,21,61.904761904761905
Agua Canyon,UT,10.4,30,73.33333333333333
Casper Mtn.,WY,6.6,42,21.428571428571427
Slug Creek Divide,ID,17.9,44,70.45454545454545
Payson R.S.,UT,8.0,44,9.090909090909092
Diamond Peak,NV,6.8999999999999995,41,21.951219512195124
Mill-D North,UT,16.0,36,22.22222222222222
Strawberry,OR,13.5,44,47.72727272727273
Garfield R.S.,ID,14.6,44,86.36363636363636
Sylvan Road,WY,17.0,37,91.8918918918919
Lakefork Basin,UT,16.900000000000002,42,59.523809523809526
Sourdough Gulch,WA,13.1,24,95.83333333333334
Monte Cristo,UT,22.1,46,63.04347826086957
Fish Lake,WA,52.2,41,80.48780487804879
Chocolate Gulch,ID,15.3,31,80.64516129032258
Granite Crk,AK,3.9000000000000004,37,75.67567567567568
Bourne,OR,15.500000000000002,46,28.26086956521739
Hagans Meadow,CA,20.299999999999997,46,52.17391304347826
Arapaho Ridge,CO,12.2,22,13.636363636363635
Oxford Spring,ID,14.0,44,56.81818181818182
West Yellowstone,MT,12.4,26,76.92307692307693
Sleeping Woman,MT,26.2,32,96.875
Humboldt Gulch,ID,34.2,43,79.06976744186046
North Rapid Creek,SD,7.300000000000001,28,82.14285714285714
Deadman Creek,MT,12.5,46,95.65217391304348
Townsend Creek,WY,7.700000000000001,44,65.9090909090909
Derr.,OR,10.9,44,9.090909090909092
Powder River Pass,WY,12.700000000000001,46,97.82608695652173
Niwot,CO,11.7,44,68.18181818181817
Sunset,ID,30.1,42,73.80952380952381
Mc Clure Pass,CO,11.1,44,15.909090909090908
Bison Lake,CO,14.200000000000001,39,17.94871794871795
Snake River Station,WY,19.099999999999998,35,62.857142857142854
Independence Lake,CA,38.4,46,63.04347826086957
Copeland Lake,CO,8.4,42,35.714285714285715
Moss Peak,MT,39.300000000000004,39,89.74358974358975
Copper Bottom,MT,21.900000000000002,45,100.0
Toketee Airstrip,OR,23.3,21,19.047619047619047
Big Creek Sum,NV,9.9,44,27.27272727272727
Divide,MT,12.4,46,93.47826086956522
Cinnabar Park,WY,15.7,21,23.809523809523807
Independence Pass,CO,6.8999999999999995,44,0.0
Van Wyck,ID,12.399999999999999,23,47.82608695652174
Cascade Summit,OR,29.900000000000002,44,11.363636363636363
Trinity Mtn.,ID,29.2,44,47.72727272727273
S Fork Shields,MT,17.2,41,87.8048780487805
Fourmile Lake,OR,29.699999999999996,46,36.95652173913043
Brackett Creek,MT,21.2,30,80.0
Alpine Meadows,WA,100.6,30,56.666666666666664
Carrot Basin,MT,23.900000000000002,41,80.48780487804879
Carson Pass,CA,29.0,20,60.0
Jones Pass,CO,11.2,25,16.0
Moses Mtn,WA,9.0,33,15.151515151515152
Fisher Creek,MT,32.800000000000004,46,91.30434782608695
Culebra #2,CO,3.1000000000000005,45,6.666666666666667
Jump Off Joe,OR,46.4,46,36.95652173913043
Gold Center,OR,11.700000000000001,44,25.0
Whiskey Park,WY,21.3,38,50.0
Burroughs Creek,WY,16.6,44,88.63636363636364
Monitor Pass,CA,15.299999999999999,34,55.88235294117647
Bear River,CO,5.799999999999999,20,5.0
Gros Ventre Summit,WY,13.6,42,90.47619047619048
Mountain Meadows,ID,20.0,44,38.63636363636363
Sand Lake,WY,17.3,42,38.095238095238095
Cascade #2,CO,11.0,34,29.411764705882355
Grizzly Peak,CO,9.200000000000001,44,18.181818181818183
Elbow Lake,WA,97.39999999999999,29,68.96551724137932
Parrish Creek,UT,21.900000000000002,25,52.0
Cold Springs,WY,10.7,41,92.6829268292683
Dollarhide Summit,ID,22.6,43,72.09302325581395
Hobbs Park,WY,12.100000000000001,46,86.95652173913044
Lamoille #3,NV,14.4,44,40.909090909090914
Bone Springs Div,WY,8.6,46,36.95652173913043
Secesh Summit,ID,32.3,43,81.3953488372093
Bowman Springs,OR,12.6,46,32.608695652173914
Farmington Lower,UT,22.099999999999998,20,65.0
Sherwin,ID,25.799999999999997,41,65.85365853658537
Banner Summit,ID,26.2,44,75.0
Blue Mountain Spring,OR,16.9,46,32.608695652173914
Badger Pass,MT,33.7,43,93.02325581395348
Shell Creek,WY,11.4,46,86.95652173913044
Corral Canyon,NV,9.3,46,8.695652173913043
Sheldon,NV,4.0,35,60.0
Arbuckle Mtn,OR,14.6,46,10.869565217391305
Bug Lake,UT,17.5,46,73.91304347826086
Pole Creek R.S.,NV,10.0,44,65.9090909090909
Younts Peak,WY,20.0,41,90.2439024390244
Mcneil Canyon,AK,7.1,25,12.0
Three Creeks Meadow,OR,23.599999999999998,44,34.090909090909086
Roach,CO,10.1,44,11.363636363636363
Pickle Keg,UT,8.3,46,0.0
