Name,State,Value,Number_of_Observations_POR,Percentile_POR
Echo Peak,CA,13.6,44,22.727272727272727
Pigtail Peak,WA,19.7,43,6.976744186046512
Boulder Mountain,MT,11.3,46,21.73913043478261
Cougar Mountain,WA,0.0,43,4.651162790697675
Banfield Mountain,MT,9.0,56,17.857142857142858
Lyman Lake,WA,36.2,42,30.952380952380953
White Pass E.S.,WA,8.3,43,4.651162790697675
Brumley,CO,2.9,44,4.545454545454546
Mormon Mountain,AZ,0.0,44,11.363636363636363
Daniels-Strawberry,UT,3.1,46,0.0
Teuchet Creek,AK,3.9,43,74.4186046511628
Frohner Meadow,MT,3.4,52,7.6923076923076925
Reynolds Creek,ID,0.3,22,13.636363636363635
Jump Off Joe,OR,0.1,46,8.695652173913043
Fish Creek,OR,5.2,45,0.0
Berry Creek,NV,5.8,44,20.454545454545457
Little Warm,WY,7.4,46,58.69565217391305
St. Lawrence Alt,WY,2.2,41,19.51219512195122
Clayton Springs,UT,5.0,24,12.5
Lamoille #3,NV,2.8,44,0.0
Tepee Creek,MT,6.9,53,18.867924528301888
Parrish Creek,UT,7.0,25,0.0
Galena,ID,10.5,42,47.61904761904761
Poison Flat,CA,6.4,44,22.727272727272727
Warm Springs,MT,14.7,47,74.46808510638297
Ward Creek #3,CA,10.5,45,17.77777777777778
Sherwin,ID,1.7,41,0.0
Summit Lake,OR,7.8,44,2.272727272727273
Wesner Springs,NM,1.8,35,5.714285714285714
Willow Park,CO,7.1,44,6.8181818181818175
Mccoy Park,CO,3.3,21,0.0
Madison Butte,OR,0.0,44,9.090909090909092
Powder River Pass,WY,7.7,46,67.3913043478261
Butte,CO,5.0,44,4.545454545454546
Box Creek,UT,0.4,45,0.0
Camas Creek Divide,ID,1.6,32,0.0
Mule Creek,MT,9.6,44,50.0
Signal Peak,NM,0.0,44,15.909090909090908
Aneroid Lake #2,OR,7.2,41,0.0
Donkey Reservoir,UT,2.5,39,5.128205128205128
Cloud Peak Reservoir,WY,8.1,46,34.78260869565217
Columbine Pass,CO,7.1,38,10.526315789473683
Kimberly Mine,UT,4.8,44,2.272727272727273
Sharkstooth,CO,4.7,20,5.0
Strawberry,OR,0.2,44,11.363636363636363
Loomis Park,WY,9.1,44,36.36363636363637
Tolby,NM,2.2,26,7.6923076923076925
Sandstone RS,WY,5.7,39,15.384615384615385
Rocker Peak,MT,9.2,57,49.122807017543856
Garver Creek,MT,4.7,56,5.357142857142857
Silver Creek Divide,NM,4.0,44,20.454545454545457
Cold Springs,WY,4.9,41,41.46341463414634
Bumping Ridge,WA,8.6,43,6.976744186046512
Jackwhacker Gulch,CO,4.0,26,7.6923076923076925
White River #1,UT,3.6,45,2.2222222222222223
Fish Lk.,OR,0.2,43,2.3255813953488373
Big Flat,UT,6.1,46,15.217391304347828
Hand Creek,MT,4.7,48,6.25
Kirwin,WY,9.0,44,84.0909090909091
Rocky Boy,MT,2.3,57,19.298245614035086
Spruce Springs,WA,3.6,23,4.3478260869565215
Wildcat,AZ,0.3,40,15.0
Magic Mountain,ID,5.8,44,0.0
Columbus Basin,CO,7.2,30,6.666666666666667
Hams Fork,WY,7.0,38,39.473684210526315
Tizer Basin,MT,4.1,36,2.7777777777777777
Gros Ventre Summit,WY,9.7,44,77.27272727272727
Dry Fork,UT,2.1,30,0.0
East Willow Creek,UT,0.8,38,0.0
Culebra #2,CO,4.8,45,8.88888888888889
Heber,AZ,0.2,43,16.27906976744186
Widtsoe #3,UT,4.6,46,21.73913043478261
Ripple Creek,CO,8.4,38,0.0
Mill-D North,UT,7.7,36,0.0
Ward Mountain,NV,4.1,44,20.454545454545457
Niwot,CO,4.1,44,2.272727272727273
Savage Pass,ID,13.1,41,12.195121951219512
Divide Peak,WY,6.6,44,4.545454545454546
Burnt Mtn,MT,0.4,23,4.3478260869565215
Holland Meadows,OR,0.1,43,2.3255813953488373
Flattop Mtn.,MT,30.9,55,56.36363636363636
Lost Dog,CO,9.8,26,3.8461538461538463
Vallecito,CO,4.0,38,10.526315789473683
Waterhole,WA,9.9,25,12.0
Basin Creek,MT,2.9,44,4.545454545454546
Bone Springs Div,WY,8.8,44,25.0
Baker Butte,AZ,0.2,44,15.909090909090908
Franklin Basin,ID,15.9,45,44.44444444444444
Coronado Trail,AZ,0.2,44,27.27272727272727
Brighton,UT,9.8,38,26.31578947368421
Hogg Pass,OR,5.0,45,4.444444444444445
Rawah,CO,3.9,22,0.0
Fisher Creek,MT,26.1,58,72.41379310344827
Morse Lake,WA,20.3,42,9.523809523809524
Stuart Mountain,MT,24.2,30,76.66666666666667
