Name,ID,State,Network,County,Elevation_ft,Latitude,Longitude,HUC
Alexander Lake,"1267	",Alaska,SNOTEL,Matanuska-Susitna,160,61.74967,-150.88967,"190205051106	"
American Creek,"1189	",Alaska,SNOTEL,Southeast Fairbanks,1050,64.78969,-141.23376,"190705050504	"
Anchor River Divide,"1062	",Alaska,SNOTEL,Kenai Peninsula,1653,59.85972,-151.315,"190203010701	"
Anchorage Hillside,"1070	",Alaska,SNOTEL,Anchorage,2080,61.11483,-149.66683,"190204010601	"
Aniak,"2065	",Alaska,SNOTEL,Bethel,80,61.58337,-159.57708,"190305020504	"
Bettles Field,"1182	",Alaska,SNOTEL,Yukon-Koyukuk,640,66.91667,-151.53333,"190901012604	"
Chena Lakes,"1260	",Alaska,SNOTEL,Fairbanks North Star,500,64.75793,-147.21823,"190803060901	"
Chisana,"1093	",Alaska,SNOTEL,Valdez-Cordova,3320,62.069,-142.049,"190803010305	"
Coldfoot,"958	",Alaska,SNOTEL,Yukon-Koyukuk,1040,67.25333,-150.183,"190901010604	"
Cooper Lake,"959	",Alaska,SNOTEL,Kenai Peninsula,1200,60.39027,-149.6936,"190203021205	"
Creamers Field,"1302	",Alaska,SNOTEL,Fairbanks North Star,440,64.86534,-147.73617,"190803060907	"
Dahl Creek,"1303	",Alaska,SNOTEL,Northwest Arctic,260,66.94517,-156.90318,"190503021508	"
Elmendorf Field,"1332	",Alaska,SNOTEL,Anchorage,170,61.24777,-149.82331,"190204010404	"
Exit Glacier,"1092	",Alaska,SNOTEL,Kenai Peninsula,400,60.19033,-149.62117,"190202020508	"
Fielding Lake,"1268	",Alaska,SNOTEL,Valdez-Cordova,3000,63.20267,-145.6305,"190803040302	"
Flower Mountain,"1285	",Alaska,SNOTEL,Haines,2510,59.39617,-136.28123,"190103031206	"
Frostbite Bottom,"641	",Alaska,SNOTEL,Matanuska-Susitna,2700,61.74722,-149.2688,"190205051202	"
Galena AK,"429	",Alaska,SNOTEL,Yukon-Koyukuk,410,64.69662,-156.71497,"190902051104	"
Grandview,"956	",Alaska,SNOTEL,Kenai Peninsula,1100,60.60832,-149.06313,"190203021001	"
Granite Crk,"963	",Alaska,SNOTEL,Southeast Fairbanks,1240,63.94382,-145.39993,"190803031306	"
Grouse Creek Divide,"964	",Alaska,SNOTEL,Kenai Peninsula,700,60.25965,-149.34228,"190203020902	"
Gulkana River,"2222	",Alaska,SNOTEL,Valdez-Cordova,1830,62.40962,-145.37513,"190201020604	"
Heen Latinee,"1270	",Alaska,SNOTEL,Juneau,2065,58.69652,-134.86448,"190103010401	"
Hoonah,"1318	",Alaska,SNOTEL,Hoonah-Angoon,1550,58.12411,-135.413,"190102110906	"
Independence Mine,"1091	",Alaska,SNOTEL,Matanuska-Susitna,3550,61.79001,-149.2839,"190205051202	"
Indian Pass,"946	",Alaska,SNOTEL,Anchorage,2350,61.06767,-149.4795,"190204010402	"
Jack Wade Jct,"1275	",Alaska,SNOTEL,Southeast Fairbanks,3585,64.1529,-141.32693,"190705022204	"
Kantishna,"1072	",Alaska,SNOTEL,Denali,1550,63.54167,-150.994,"190803101805	"
Kelly Station,"1175	",Alaska,SNOTEL,Northwest Arctic,310,67.93333,-162.28333,"190504030802	"
Kenai Moose Pens,"966	",Alaska,SNOTEL,Kenai Peninsula,300,60.727,-150.47517,"190203021601	"
Little Chena Ridge,"947	",Alaska,SNOTEL,Fairbanks North Star,2000,65.12422,-146.7339,"190803060706	"
Long Lake,"1001	",Alaska,SNOTEL,Juneau,850,58.186,-133.83217,"190102060505	"
Look Eyrie,"768	",Alaska,SNOTEL,Southeast Fairbanks,5040,63.32192,-145.59655,"190803040504	"
May Creek,"1096	",Alaska,SNOTEL,Valdez-Cordova,1610,61.34783,-142.70967,"190201031603	"
McGrath,"785	",Alaska,SNOTEL,Yukon-Koyukuk,340,62.94652,-155.6102,"190304050502	"
Mcneil Canyon,"1003	",Alaska,SNOTEL,Kenai Peninsula,1320,59.74433,-151.25133,"190203010806	"
Monahan Flat,"1094	",Alaska,SNOTEL,Matanuska-Susitna,2710,63.30533,-147.64633,"190205010304	"
Monument Creek,"949	",Alaska,SNOTEL,Fairbanks North Star,1850,65.07833,-145.87067,"190803060402	"
Moraine,"1035	",Alaska,SNOTEL,Anchorage,2100,61.37727,-148.99917,"190204010103	"
Mt. Alyeska,"1103	",Alaska,SNOTEL,Anchorage,1540,60.95983,-149.08617,"190203020702	"
Mt. Eyak,"1073	",Alaska,SNOTEL,Valdez-Cordova,1405,60.55,-145.745,"190202010200	"
Mt. Ryan,"948	",Alaska,SNOTEL,Fairbanks North Star,2800,65.25113,-146.15133,"190803060404	"
Munson Ridge,"950	",Alaska,SNOTEL,Fairbanks North Star,3100,64.85033,-146.20945,"190803060602	"
Paradise Hill,"1301	",Alaska,SNOTEL,Southeast Fairbanks,2010,62.83329,-141.40918,"190803010807	"
Pilgrim Hot Springs,"1327	",Alaska,SNOTEL,Nome,20,65.09455,-164.92472,"190501050702	"
Port Graham,"987	",Alaska,SNOTEL,Kenai Peninsula,300,59.35065,-151.84768,"190203011208	"
Seven Mile,"1330	",Alaska,SNOTEL,Yukon-Koyukuk,660,65.93772,-149.8631,"190804040306	"
Summit Creek,"955	",Alaska,SNOTEL,Kenai Peninsula,1400,60.61713,-149.53128,"190203020401	"
Susitna Valley High,"967	",Alaska,SNOTEL,Matanuska-Susitna,375,62.13333,-150.04167,"190205050105	"
Telaquana Lake,"1266	",Alaska,SNOTEL,Bethel,1275,60.98243,-153.91772,"190304052303	"
Teuchet Creek,"951	",Alaska,SNOTEL,Fairbanks North Star,1640,64.94583,-145.51667,"190803060301	"
Tok,"2080	",Alaska,SNOTEL,Southeast Fairbanks,1630,63.3532,-142.98164,"190803020903	"
Tokositna Valley,"1089	",Alaska,SNOTEL,Matanuska-Susitna,850,62.63,-150.77617,"190205020903	"
